geo_key,geo_name
3778,Cherkasy Oblast
3779,Chernihiv Oblast
3780,Chernivtsi Oblast
3781,Dnipropetrovsk Oblast
3782,Donetsk Oblast
3783,Ivano-Frankivsk Oblast
3784,Kharkiv Oblast
3785,Kherson Oblast
3786,Khmelnytska
3787,Kirovohrad Oblast
3788,Autonomous Republic of Crimea
3790,Kiev Oblast
3791,Luhansk Oblast
3792,Lviv Oblast
3793,Mykolaiv Oblast
3794,Odessa Oblast
3795,Poltava Oblast
3796,Rivne Oblast
3797,Sevastopol
3798,Sumy Oblast
3799,Ternopil Oblast
3800,Vinnytsia Oblast
3801,Volyn Oblast
3802,Zakarpattia Oblast
3803,Zaporizhia Oblast
3804,Zhytomyr Oblast
4290,Kyiv
