country,admin_level,orig,dest,day,age_min,age_max,sex,mob,mob_lower,mob_upper
UKR,1,UA01,UA01,26/02/2022,0,4,1,1.117117117,0,6
UKR,1,UA01,UA01,27/02/2022,0,4,1,2.216216216,0,10
UKR,1,UA01,UA01,28/02/2022,0,4,1,193.3933934,34.95,574.1
UKR,1,UA01,UA01,01/03/2022,0,4,1,0.403403403,0,2
UKR,1,UA01,UA01,26/02/2022,0,4,2,0.477477477,0,3
UKR,1,UA01,UA01,27/02/2022,0,4,2,0.705705706,0,4
UKR,1,UA01,UA01,28/02/2022,0,4,2,5.497497497,0,19
UKR,1,UA01,UA01,01/03/2022,0,4,2,38.54154154,6,107.05
UKR,1,UA01,UA01,26/02/2022,5,9,1,1.860860861,0,9
UKR,1,UA01,UA01,27/02/2022,5,9,1,5.882882883,0,22
UKR,1,UA01,UA01,28/02/2022,5,9,1,2.078078078,0,7
UKR,1,UA01,UA01,01/03/2022,5,9,1,87.14014014,18,237.1
UKR,1,UA01,UA01,26/02/2022,5,9,2,39.1001001,5.95,131.1
UKR,1,UA01,UA01,27/02/2022,5,9,2,3.135135135,0,12
UKR,1,UA01,UA01,28/02/2022,5,9,2,2.267267267,0,9
UKR,1,UA01,UA01,01/03/2022,5,9,2,27.45045045,4,78
UKR,1,UA01,UA01,26/02/2022,10,14,1,0.477477477,0,3
UKR,1,UA01,UA01,27/02/2022,10,14,1,1.17017017,0,5.05
UKR,1,UA01,UA01,28/02/2022,10,14,1,5.33033033,0,18
UKR,1,UA01,UA01,01/03/2022,10,14,1,2.089089089,0,8
UKR,1,UA01,UA01,26/02/2022,10,14,2,1.114114114,0,6
UKR,1,UA01,UA01,27/02/2022,10,14,2,4.42042042,0,15
UKR,1,UA01,UA01,28/02/2022,10,14,2,0.658658659,0,3
UKR,1,UA01,UA01,01/03/2022,10,14,2,0.419419419,0,3
UKR,1,UA01,UA05,26/02/2022,0,4,1,4.827827828,0,16
UKR,1,UA01,UA05,27/02/2022,0,4,1,4.42042042,0,15
UKR,1,UA01,UA05,28/02/2022,0,4,1,74.92392392,15,224.1
UKR,1,UA01,UA05,01/03/2022,0,4,1,373.011011,75.9,1170.15
UKR,1,UA01,UA05,26/02/2022,0,4,2,6.469469469,0,21.05
UKR,1,UA01,UA05,27/02/2022,0,4,2,38.38138138,6,113.1
UKR,1,UA01,UA05,28/02/2022,0,4,2,8.356356356,1,27.05
UKR,1,UA01,UA05,01/03/2022,0,4,2,42.35435435,7,131
UKR,1,UA01,UA05,26/02/2022,5,9,1,10.7017017,1,36
UKR,1,UA01,UA05,27/02/2022,5,9,1,28.25025025,4,81.1
UKR,1,UA01,UA05,28/02/2022,5,9,1,121.013013,28.95,363.1
UKR,1,UA01,UA05,01/03/2022,5,9,1,1.134134134,0,5
UKR,1,UA01,UA05,26/02/2022,5,9,2,212.9089089,39,661.75
UKR,1,UA01,UA05,27/02/2022,5,9,2,30.4014014,6,90.1
UKR,1,UA01,UA05,28/02/2022,5,9,2,17.92692693,3,57.05
UKR,1,UA01,UA05,01/03/2022,5,9,2,1.124124124,0,5
UKR,1,UA01,UA05,26/02/2022,10,14,1,4.717717718,0,17
UKR,1,UA01,UA05,27/02/2022,10,14,1,34.72972973,6,101.15
UKR,1,UA01,UA05,28/02/2022,10,14,1,0.299299299,0,2
UKR,1,UA01,UA05,01/03/2022,10,14,1,3.204204204,0,12
UKR,1,UA01,UA05,26/02/2022,10,14,2,26.80680681,4,89.05
UKR,1,UA01,UA05,27/02/2022,10,14,2,8.269269269,1,26.05
UKR,1,UA01,UA05,28/02/2022,10,14,2,1.377377377,0,6
UKR,1,UA01,UA05,01/03/2022,10,14,2,2.342342342,0,10
UKR,1,UA01,UA07,26/02/2022,0,4,1,3.574574575,0,13
UKR,1,UA01,UA07,27/02/2022,0,4,1,0.273273273,0,2
UKR,1,UA01,UA07,28/02/2022,0,4,1,86.01801802,15,286.1
UKR,1,UA01,UA07,01/03/2022,0,4,1,0.259259259,0,2
UKR,1,UA01,UA07,26/02/2022,0,4,2,1.305305305,0,5
UKR,1,UA01,UA07,27/02/2022,0,4,2,0.94994995,0,4
UKR,1,UA01,UA07,28/02/2022,0,4,2,1.432432432,0,6.05
UKR,1,UA01,UA07,01/03/2022,0,4,2,2.551551552,0,10
UKR,1,UA01,UA07,26/02/2022,5,9,1,5.906906907,0,21
UKR,1,UA01,UA07,27/02/2022,5,9,1,4.727727728,0,16
UKR,1,UA01,UA07,28/02/2022,5,9,1,4.207207207,0,16
UKR,1,UA01,UA07,01/03/2022,5,9,1,0.268268268,0,2
UKR,1,UA01,UA07,26/02/2022,5,9,2,0.219219219,0,2
UKR,1,UA01,UA07,27/02/2022,5,9,2,5.331331331,0,19
UKR,1,UA01,UA07,28/02/2022,5,9,2,0.868868869,0,4
UKR,1,UA01,UA07,01/03/2022,5,9,2,5.081081081,0,18
UKR,1,UA01,UA07,26/02/2022,10,14,1,28.02202202,4,93
UKR,1,UA01,UA07,27/02/2022,10,14,1,9.201201201,0,29
UKR,1,UA01,UA07,28/02/2022,10,14,1,0.662662663,0,4
UKR,1,UA01,UA07,01/03/2022,10,14,1,9.898898899,1,32
UKR,1,UA01,UA07,26/02/2022,10,14,2,1.409409409,0,6
